[2024-05-26T13:29:32.670+0000] {processor.py:161} INFO - Started process (PID=56) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-26T13:29:32.672+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-05-26T13:29:32.674+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.674+0000] {dagbag.py:545} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-26T13:29:32.698+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1', 'dataset_produces_2', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_unknown_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_produces_1', 'dataset_consumes_1_and_2' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-05-26T13:29:32.762+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.762+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-05-26T13:29:32.794+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.794+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-05-22 01:00:00+00:00, run_after=2024-05-22 01:00:00+00:00
[2024-05-26T13:29:32.799+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.799+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-05-26T13:29:32.801+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.801+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-05-26T13:29:32.803+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.803+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-05-26T13:29:32.805+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.805+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-05-26T13:29:32.807+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.807+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-05-26T13:29:32.809+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.809+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-05-26T13:29:32.811+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.810+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-05-26T13:29:32.814+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.814+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-05-25 00:00:00+00:00, run_after=2024-05-26 00:00:00+00:00
[2024-05-26T13:29:32.816+0000] {logging_mixin.py:188} INFO - [2024-05-26T13:29:32.816+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-05-26T13:29:32.855+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.191 seconds
